epoch;acc;loss;val_acc;val_loss
0;0.5656288266181946;1.247565746307373;0.5646341443061829;1.2537040710449219
1;0.6956654191017151;0.7099924087524414;0.47804877161979675;1.2272789478302002
2;0.811965823173523;0.49503421783447266;0.48170730471611023;0.9468976259231567
3;0.903235673904419;0.2778693735599518;0.6207317113876343;0.7443249225616455
4;0.9655067324638367;0.12733063101768494;0.6951219439506531;0.562379777431488
5;0.988095223903656;0.05180516839027405;0.9487804770469666;0.19991929829120636
6;0.9942002296447754;0.030637705698609352;0.6926829218864441;0.7603696584701538
7;0.9975579977035522;0.013011738657951355;0.9329268336296082;0.18044854700565338
8;0.9990842342376709;0.006768045015633106;0.9817073345184326;0.06249796599149704
9;0.9954212307929993;0.016465337947010994;0.962195098400116;0.0980193167924881
10;1.0;0.005675811320543289;0.7890244126319885;0.7260051369667053
11;0.9993894696235657;0.004850498400628567;0.9475609660148621;0.13884471356868744
12;0.9990842342376709;0.005211825016885996;0.9756097793579102;0.06689617037773132
13;0.9996947646141052;0.001599386683665216;0.9487804770469666;0.15055148303508759
14;1.0;0.001051427680067718;0.9804878234863281;0.05386033281683922
15;1.0;0.0006063336040824652;0.9804878234863281;0.0620562918484211
16;1.0;0.0008873494807630777;0.9829268455505371;0.05349960923194885
17;1.0;0.0004830248944927007;0.9804878234863281;0.05945185199379921
18;1.0;0.0002359098580200225;0.9817073345184326;0.04682876169681549
19;1.0;0.0002606144698802382;0.9878048896789551;0.043170105665922165
20;1.0;0.0002484829747118056;0.9841463565826416;0.046028293669223785
21;1.0;0.00019978663476649672;0.9829268455505371;0.04596872627735138
22;1.0;0.00015123558114282787;0.9878048896789551;0.03984346613287926
23;1.0;0.00018539131269790232;0.9853658676147461;0.045342907309532166
24;1.0;0.00013880581536795944;0.9865853786468506;0.04323930665850639
25;1.0;0.00014450035814661533;0.9829268455505371;0.053477589040994644
26;1.0;0.00012182840146124363;0.9841463565826416;0.05358206480741501
27;1.0;0.00010693605145206675;0.9829268455505371;0.055487655103206635
28;1.0;9.941963799064979e-05;0.9853658676147461;0.04672630876302719
29;1.0;9.666754340287298e-05;0.9865853786468506;0.04467685520648956
30;1.0;8.690819959156215e-05;0.9890244007110596;0.042720966041088104
31;1.0;8.16117026261054e-05;0.9878048896789551;0.04408079385757446
32;1.0;0.00010683002619771287;0.9890244007110596;0.044531237334012985
33;1.0;8.659221202833578e-05;0.9914634227752686;0.043066177517175674
34;1.0;8.483786223223433e-05;0.9853658676147461;0.0501118041574955
35;1.0;8.484883437631652e-05;0.9890244007110596;0.04326048120856285
36;1.0;6.094020864111371e-05;0.9890244007110596;0.04352465271949768
37;1.0;7.739084685454145e-05;0.9890244007110596;0.04253093898296356
38;1.0;6.811312050558627e-05;0.9890244007110596;0.04313196614384651
39;1.0;5.744934969698079e-05;0.9878048896789551;0.0444621704518795
40;1.0;5.6807817600201815e-05;0.9902439117431641;0.04163730889558792
41;1.0;6.173942529130727e-05;0.9902439117431641;0.041516128927469254
42;1.0;6.131691043265164e-05;0.9902439117431641;0.042738206684589386
43;1.0;6.498259608633816e-05;0.9890244007110596;0.04183236137032509
44;1.0;4.803005504072644e-05;0.9878048896789551;0.04452218860387802
45;1.0;5.026587314205244e-05;0.9878048896789551;0.04505115747451782
46;1.0;4.8882309783948585e-05;0.9878048896789551;0.045614223927259445
47;1.0;4.832693957723677e-05;0.9890244007110596;0.04284518212080002
48;1.0;4.901926513412036e-05;0.9902439117431641;0.042348407208919525
49;1.0;4.899458508589305e-05;0.9890244007110596;0.04330271854996681
0;0.5460928082466125;1.5717272758483887;0.4573170840740204;1.0466413497924805
1;0.6590353846549988;0.7499743103981018;0.16463415324687958;1.483012318611145
